UPC,price_elasticity,r_squared,n_obs,feature_lift_pct_m1,feature_lift_pct_m2,feature_lift_pct_m3,feature_lift_pct_m4,feature_lift_pct_m5,feature_lift_pct_m6,feature_lift_pct_m7,feature_lift_pct_m8,feature_lift_pct_m9,feature_lift_pct_m10,feature_lift_pct_m11,feature_lift_pct_m12,display_lift_pct_m1,display_lift_pct_m2,display_lift_pct_m3,display_lift_pct_m4,display_lift_pct_m5,display_lift_pct_m6,display_lift_pct_m7,display_lift_pct_m8,display_lift_pct_m9,display_lift_pct_m10,display_lift_pct_m11,display_lift_pct_m12,tpr_lift_pct_m1,tpr_lift_pct_m2,tpr_lift_pct_m3,tpr_lift_pct_m4,tpr_lift_pct_m5,tpr_lift_pct_m6,tpr_lift_pct_m7,tpr_lift_pct_m8,tpr_lift_pct_m9,tpr_lift_pct_m10,tpr_lift_pct_m11,tpr_lift_pct_m12
1111009477.0,1.992527856945499,0.25013189977000505,9550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111009497.0,1.4070662274683454,0.26519003001314323,9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111009507.0,2.518776562721731,0.257189635891793,9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111035398.0,-1.050407816057853,0.067674075962455,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111038078.0,-1.2063072950464977,0.24757124799537622,8998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111038080.0,-1.0369036940856964,0.24201573242912844,8537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111085319.0,0.411720438016756,0.11932365742332929,9567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111085345.0,-0.3044267936267908,0.09972661078421408,9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111085350.0,0.7705020458560607,0.128222670396551,9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111087395.0,-1.5134539982038668,0.29611038816063695,9318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111087396.0,-1.6337671145032455,0.28160966863967485,9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111087398.0,-0.8950795749007665,0.2743885850651461,9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600027527.0,-1.4175985985702697,0.4128900875518633,9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600027528.0,0.9366012409283612,0.3579067242917575,9586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600027564.0,-0.7086542963508504,0.21054058407219867,9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066200530.0,-3.6638231565294688,0.15028283935100628,4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066200531.0,-3.456761919990609,0.11902825983554688,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066200532.0,-3.9722460843174137,0.2110541409988138,2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
